@relation detectMovementType

@attribute mean numeric
@attribute stdDeviation numeric
@attribute min numeric
@attribute max numeric
@attribute movementType {walking,biking,driving}
@attribute sensor {accelerometer}

@data
9.591416,2.181355,2.985205,13.363288,biking,accelerometer
9.106562,2.611931,2.097803,14.122683,biking,accelerometer
9.145436,2.730304,2.097803,14.122683,biking,accelerometer
9.656078,2.345536,3.488919,13.122695,biking,accelerometer
9.343865,2.002526,3.96396,13.122695,biking,accelerometer
9.081264,2.02247,2.839063,15.196683,biking,accelerometer
9.290624,1.97169,2.839063,15.196683,biking,accelerometer
9.485392,1.803213,5.346594,15.134296,biking,accelerometer
9.811724,2.976899,2.921626,20.95585,biking,accelerometer
9.679072,3.157022,2.410169,20.95585,biking,accelerometer
9.33025,2.605576,2.410169,14.065706,biking,accelerometer
9.57246,2.678959,2.721202,15.424967,biking,accelerometer
9.723601,2.521491,4.655568,15.424967,biking,accelerometer
9.17035,2.7456,2.403637,13.758604,biking,accelerometer
9.223959,2.887365,2.403637,14.233018,biking,accelerometer
9.863465,2.665009,2.2685,14.233018,biking,accelerometer
9.207712,2.952139,2.2685,14.15234,biking,accelerometer
9.318169,3.084948,2.759857,14.667028,biking,accelerometer
9.625423,2.974366,2.759857,14.667028,biking,accelerometer
9.455305,2.568533,3.208934,13.935407,biking,accelerometer
9.27839,2.385426,3.456494,13.935407,biking,accelerometer
9.075296,2.353074,3.456494,13.556915,biking,accelerometer
9.571191,2.187213,4.444733,14.970871,biking,accelerometer
9.696858,2.235859,4.435615,14.970871,biking,accelerometer
9.416181,2.278317,4.390673,13.732563,biking,accelerometer
9.096926,2.651536,3.67455,16.564843,biking,accelerometer
9.381838,2.745626,3.67455,16.564843,biking,accelerometer
9.511301,2.143139,4.023907,14.624321,biking,accelerometer
9.215298,1.222012,4.539474,11.533625,biking,accelerometer
9.202,0.697366,7.210032,11.053097,biking,accelerometer
9.347787,1.761645,4.535121,14.132862,biking,accelerometer
9.73561,2.236311,3.770191,14.132862,biking,accelerometer
9.738765,2.267639,2.534336,13.535225,biking,accelerometer
9.459863,2.44839,2.534336,16.504578,biking,accelerometer
9.440003,2.251962,4.557183,16.504578,biking,accelerometer
9.431277,1.940664,3.475825,12.833716,biking,accelerometer
9.390942,1.85467,3.475825,12.257803,biking,accelerometer
9.426729,1.923939,4.255415,13.313357,biking,accelerometer
9.446985,1.924501,5.003016,13.313357,biking,accelerometer
9.428989,1.89444,5.139197,14.204477,biking,accelerometer
9.4143,1.901012,3.325481,14.204477,biking,accelerometer
9.384605,1.718412,3.325481,12.211248,biking,accelerometer
9.361445,1.733811,3.719442,12.686358,biking,accelerometer
9.316136,1.978445,3.553263,13.551676,biking,accelerometer
9.200538,2.131987,3.553263,13.551676,biking,accelerometer
9.148065,2.120681,4.09147,12.916695,biking,accelerometer
9.236784,1.929428,3.911859,12.656523,biking,accelerometer
9.374763,1.851693,3.911859,12.942405,biking,accelerometer
9.535976,2.090027,2.718864,13.35762,biking,accelerometer
9.562993,2.199877,2.718864,13.35762,biking,accelerometer
9.511189,2.090192,3.691327,12.69879,biking,accelerometer
9.482653,2.019116,3.76239,13.652066,biking,accelerometer
9.412263,2.044295,3.76239,13.652066,biking,accelerometer
9.240681,2.10995,3.872102,13.300789,biking,accelerometer
9.051356,2.157931,3.872102,12.875271,biking,accelerometer
9.28294,2.286985,4.319207,15.148082,biking,accelerometer
9.592499,2.224862,4.377219,15.148082,biking,accelerometer
9.56441,2.028487,4.378208,12.671014,biking,accelerometer
9.460849,2.056141,3.727331,13.619695,biking,accelerometer
9.457998,2.181812,3.727331,14.334907,biking,accelerometer
9.342905,2.137627,3.909721,14.334907,biking,accelerometer
9.259321,1.965403,4.730702,16.385636,biking,accelerometer
9.52131,2.086169,5.282984,16.385636,biking,accelerometer
9.786783,2.12521,5.282984,15.155194,biking,accelerometer
9.805007,1.781085,5.349584,14.479447,biking,accelerometer
9.604084,1.587115,5.07525,12.476229,biking,accelerometer
9.410815,1.580222,4.687855,12.39014,biking,accelerometer
9.450043,1.590623,4.687855,12.32457,biking,accelerometer
9.430281,2.148691,2.5974,14.526548,biking,accelerometer
9.399565,2.268258,2.5974,14.526548,biking,accelerometer
9.173248,2.234494,3.324438,12.610636,biking,accelerometer
9.067292,2.343689,3.643942,12.610636,biking,accelerometer
9.503653,2.257385,2.870087,13.343449,biking,accelerometer
9.689613,2.242322,2.870087,13.343449,biking,accelerometer
9.600854,2.157095,3.797975,12.967648,biking,accelerometer
9.214307,2.453536,2.909341,12.879266,biking,accelerometer
9.0211,2.505364,2.909341,12.719163,biking,accelerometer
9.499091,2.355707,3.759135,14.277284,biking,accelerometer
9.743242,2.312398,3.871992,14.277284,biking,accelerometer
9.551919,2.191152,3.871992,13.016326,biking,accelerometer
9.287529,2.240367,4.082561,13.153172,biking,accelerometer
9.06446,2.327749,4.122598,13.153172,biking,accelerometer
9.188818,2.263382,4.008568,13.10325,biking,accelerometer
9.564367,2.156184,4.008568,13.24947,biking,accelerometer
9.637848,2.078483,4.800144,13.24947,biking,accelerometer
9.492923,1.988292,4.016488,13.004462,biking,accelerometer
9.453933,1.918513,4.016488,13.060907,biking,accelerometer
9.420282,1.859789,4.352778,13.060907,biking,accelerometer
9.389773,1.783527,4.352778,12.972432,biking,accelerometer
9.368439,1.713786,4.652848,12.035445,biking,accelerometer
9.346138,1.600787,4.787228,12.010361,biking,accelerometer
9.360679,1.653278,4.787228,13.941605,biking,accelerometer
9.386556,1.618269,5.613585,13.941605,biking,accelerometer
9.302292,1.462026,5.346404,11.67445,biking,accelerometer
9.255853,1.558322,5.346404,11.736521,biking,accelerometer
9.286378,1.549731,5.53063,12.551115,biking,accelerometer
9.25146,1.449414,5.409647,12.551115,biking,accelerometer
9.248592,1.451372,5.409647,12.389431,biking,accelerometer
9.337132,1.596252,5.366093,12.389431,biking,accelerometer
9.422437,1.718068,4.793844,12.844758,biking,accelerometer
9.4007,1.634749,4.793844,12.844758,biking,accelerometer
9.33903,1.564291,5.201661,11.883189,biking,accelerometer
9.34712,1.799166,3.716457,12.475108,biking,accelerometer
9.374685,1.954043,3.716457,13.148914,biking,accelerometer
9.36376,1.802901,4.575163,13.148914,biking,accelerometer
9.361581,1.721839,5.12641,12.358155,biking,accelerometer
9.364035,1.693297,5.12641,12.420818,biking,accelerometer
9.412482,1.522436,5.622737,12.420818,biking,accelerometer
9.569568,1.51316,6.088856,13.344701,biking,accelerometer
9.562294,1.501742,5.217731,13.344701,biking,accelerometer
9.401716,1.920505,4.903791,15.469464,biking,accelerometer
9.351876,2.202176,4.903791,15.469464,biking,accelerometer
9.283866,1.866015,5.406696,15.35425,biking,accelerometer
9.295929,1.921104,5.56079,13.346268,biking,accelerometer
9.383762,2.266246,4.056163,13.346268,biking,accelerometer
9.519831,2.467549,3.702269,14.018932,biking,accelerometer
9.235349,2.894466,2.74949,17.674963,biking,accelerometer
9.348295,2.961764,2.74949,17.674963,biking,accelerometer
9.960273,2.100445,5.626718,15.470128,biking,accelerometer
9.691867,1.515451,6.315213,13.493077,biking,accelerometer
9.709826,2.002103,6.230762,14.876458,biking,accelerometer
10.594361,3.309517,5.049853,27.208467,biking,accelerometer
10.755307,3.290636,5.049853,27.208467,biking,accelerometer
10.445416,2.138759,7.506604,20.190342,biking,accelerometer
9.81175,1.927056,4.874278,18.334961,biking,accelerometer
9.257291,1.21509,4.874278,12.79504,biking,accelerometer
9.370975,0.493742,7.33374,11.261,biking,accelerometer
